time,pitch,energy
5.12,981.0,77.8620786496898
5.13,982.0,77.908729749294
5.14,983.0,77.89850258038405
5.15,984.0,77.83869315110954
5.16,984.0,77.75828457759908
5.17,983.0,77.67951383948474
5.18,983.0,77.60592894091258
5.19,983.0,77.53340403726746
5.2,984.0,77.45112137343804
5.21,986.0,77.34774658869651
5.22,989.0,77.23903268199732
5.23,991.0,77.16429224814327
5.24,988.0,77.14623856492096
5.25,986.0,77.17978072126466
5.26,983.0,77.2492120331564
5.2700000000000005,980.0,77.33708394435868
5.28,978.0,77.43161719358712
5.29,977.0,77.52761243436522
5.3,973.0,77.61561709585256
5.3100000000000005,969.0,77.68951386043385
5.32,959.0,77.77088666407198
5.33,949.0,77.90062798429406
5.34,939.0,78.09749858553707
5.3500000000000005,930.0,78.34399037760116
5.36,920.0,78.60286469175874
5.37,913.0,78.82244327736244
5.38,908.0,78.94876305984279
5.39,903.0,78.96528073209426
5.4,898.0,78.91160732461476
5.41,895.0,78.83689889837484
5.42,892.0,78.73991267659534
5.43,887.0,78.59376285860183
5.44,882.0,78.42222347026298
5.45,881.0,78.29146135697603
5.46,883.0,78.21887210322146
5.47,885.0,78.16237703921537
5.48,885.0,78.10911679205613
5.49,887.0,78.09002916821649
5.5,891.0,78.10356198038355
5.51,894.0,78.10782321958568
5.5200000000000005,893.0,78.09699072045308
5.53,892.0,78.11692289346313
5.54,892.0,78.19552772231575
5.55,893.0,78.31642717665049
5.5600000000000005,891.0,78.48186424221456
5.57,889.0,78.74479332750556
5.58,886.0,79.14123211726917
5.59,884.0,79.61141056438846
5.6000000000000005,876.0,79.98027189521149
5.61,864.0,79.96056837436848
5.62,846.0,79.19421845168259
5.63,842.0,77.33726673979257
5.64,843.0,74.12788083316809
5.65,778.0,69.71319720375531
5.66,762.0,66.64239596054773
5.67,740.0,70.10997781285357
5.68,783.0,75.3187426823869
5.69,835.0,79.09732150667409
5.7,854.0,81.343837434586
5.71,847.0,82.21686061145812
5.72,847.0,81.9841358663338
5.73,854.0,81.07579563374497
5.74,866.0,80.06587654867238
5.75,876.0,79.40079171723157
5.76,877.0,79.14739868803353
5.7700000000000005,878.0,79.14840656404911
5.78,877.0,79.23297829433965
5.79,875.0,79.29062703118346
5.8,873.0,79.29280448836748
5.8100000000000005,872.0,79.23749342012964
5.82,871.0,79.094716891656
5.83,867.0,78.84948368045596
5.84,864.0,78.55664340396106
5.8500000000000005,864.0,78.31061590721882
5.86,866.0,78.19415724621531
5.87,869.0,78.25064680094343
5.88,872.0,78.43266283388938
5.89,874.0,78.61870390505669
5.9,873.0,78.73219785224155
5.91,873.0,78.77160896083895
